ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Transporter Name,Delivery Time (Days)
1,100-CI-T01,Pre-PQ Process,SCMS-4,ASN-8,Karnataka,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2-Jun-06,2-Jun-06,2-Jun-06,HRDT,HIV test,Sun Pharma,"HIV, Reveal G3 Rapid HIV-1 Antibody Test, 30 Tests","HIV, Reveal G3 Rapid HIV-1 Antibody Test",Reveal,,Test kit,30,19,24117.87,1269.3615789473683,42.31205263157894,"Pithampur, Madhya Pradesh",Yes,13,1325.2,,VRL Logistics,4
3,108-VN-T01,Pre-PQ Process,SCMS-13,ASN-85,West Bengal,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,14-Nov-06,14-Nov-06,14-Nov-06,ARV,Pediatric,Cipla,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,1000,72720.4,72.7204,0.30300166666666667,"Bhiwandi, Maharashtra",Yes,358,739.81,,TCI Express,10
4,100-CI-T01,Pre-PQ Process,SCMS-20,ASN-14,Uttar Pradesh,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,Date Not Captured,27-Aug-06,27-Aug-06,27-Aug-06,HRDT,HIV test,Biocon,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,500,7500.45,15.0009,0.150009,"Pithampur, Madhya Pradesh",Yes,171,613.11,,VRL Logistics,6
15,108-VN-T01,Pre-PQ Process,SCMS-78,ASN-50,Maharashtra,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,1-Sep-06,1-Sep-06,1-Sep-06,ARV,Adult,Aurobindo Pharma,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,31920,26169.85,0.8198574561403509,0.013664290935672514,"Pithampur, Madhya Pradesh",Yes,1855,646.93,,TCI Express,3
16,108-VN-T01,Pre-PQ Process,SCMS-81,ASN-55,Uttar Pradesh,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,11-Aug-06,11-Aug-06,11-Aug-06,ARV,Adult,Cipla,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,38000,20905.37,0.5501413157894737,0.00916902192982456,"Bhiwandi, Maharashtra",Yes,7590,1810.94,,VRL Logistics,9
23,112-NG-T01,Pre-PQ Process,SCMS-87,ASN-57,Karnataka,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,28-Sep-06,28-Sep-06,28-Sep-06,ARV,Pediatric,Aurobindo Pharma,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,416,51591.46,124.0179326923077,0.5167413862179487,"Srikakulam, Andhra Pradesh",Yes,504,1450.29,,Blue Dart,2
44,110-ZM-T01,Pre-PQ Process,SCMS-139,ASN-130,Gujarat,PMO - US,Direct Drop,DDU,Air,Pre-PQ Process,Date Not Captured,8-Jan-07,8-Jan-07,8-Jan-07,ARV,Pediatric,Dr. Reddy's,"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",Efavirenz,Stocrin/Sustiva,200mg,Capsule,90,135,39465.56,292.33748148148146,3.2481942386831273,"Hosakote, Karnataka",Yes,328,1873.35,,GATI,3
45,109-TZ-T01,Pre-PQ Process,SCMS-140,ASN-94,Gujarat,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,24-Nov-06,24-Nov-06,24-Nov-06,ARV,Adult,Aurobindo Pharma,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,16667,7412.23,0.4447249055018899,0.007412081758364832,"Baddi, Himachal Pradesh",Yes,1478,257.49,,GATI,7
46,112-NG-T01,Pre-PQ Process,SCMS-156,ASN-93,Tamil Nadu,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,7-Dec-06,7-Dec-06,7-Dec-06,ARV,Adult,Sun Pharma,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,273,97357.69,356.6215750915751,5.943692918192919,"Srikakulam, Andhra Pradesh",No,See ASN-93 (ID#:1281),173.31,,TCI Express,11
47,110-ZM-T01,Pre-PQ Process,SCMS-165,ASN-199,Uttar Pradesh,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,11/13/06,30-Jan-07,30-Jan-07,30-Jan-07,ARV,Adult,Lupin,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,2800,72636.11,25.941467857142857,0.21617889880952382,"Baddi, Himachal Pradesh",Yes,643,146.69,,TCI Express,14
60,110-ZM-T01,Pre-PQ Process,SCMS-221,ASN-223,Uttar Pradesh,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,12/1/06,16-Feb-07,16-Feb-07,16-Feb-07,ARV,Adult,Lupin,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,2800,8724.9,3.1160357142857142,0.025966964285714284,"Srikakulam, Andhra Pradesh",Yes,643,1171.36,,Blue Dart,12
