Shipment ID,Order Date,Shipment Date,Actual Delivery Date,Origin City,Origin Country,Manufacturing Site,Destination Country,Destination City,Chosen Route Name,Distance (km),Customer ID,Service Level,Product ID,Product Category,Shipment Content Type,Packaging Type,Packaging Efficiency,Line Item Quantity,Unit Price (USD),Pack Price (USD),Line Item Value (USD),Weight (kg),Volume (m³),Billable Weight (kg),Shipment Mode,Transporter Name,Carrier Product Fit Score,Expected Delivery Time (Days),Delivery Time (Days),Delay (Days),Avg Speed (km/h),Halt Duration (hours),Route Deviation Factor,Weather Impact,Customs/Border Delay (hours),Route Congestion Factor,Seasonal Cost Factor,Seasonal Delay Factor,Proposed Freight Cost (USD),Actual Freight Cost (USD),Cost Per Billable Kg (USD),Price Variance (USD),Price Variance (%),Carbon Emissions (kg CO2),Status,On-Time Delivery,Cost Outlier,Shipment Month,Shipment Day of Week
SHIP00001,2024-10-16,2024-10-16,2024-10-19,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,Via Jaipur-Udaipur,1450,CUST016,Standard,PROD0098,Consumer Goods,General Goods,Carton,1.08,45,185.34,181.87,8340.3,83.64,2.439,487.8,Express Air,FedEx,8,2.5,2.6,0.1,780.4,4.0,1.56,None,14.4,1.2,1.1,1.05,40856.76,48039.67,98.48,7182.91,17.58,1100.6,Delivered,Yes,False,10,2
SHIP00002,2023-02-14,2023-02-17,2023-04-28,Gurugram,India,Gurugram Mfg Hub,Gurugram,New York,Air/Sea Route NY,12000,CUST006,Standard,PROD0100,Consumer Goods,General Goods,Box,0.19,454,261.28,262.09,118621.12,4865.2,8.493,8493.0,Sea,Maersk,6,50.5,69.6,19.1,14.1,16.7,1.83,None,63.2,1.3,1.0,1.0,64791.76,73514.58,8.66,8722.82,13.46,1866.05,Delayed,No,False,2,4
SHIP00003,2023-09-08,2023-09-09,2023-09-11,Gurugram,India,Gurugram Mfg Hub,Gurugram,Ahmedabad,NH 48 West,800,CUST041,Standard,PROD0031,Pharma,Temperature Controlled,Pallet,0.01,432,1548.21,1520.71,668826.72,713.89,6.998,1749.5,Road,Maersk,5,2.1,2.2,0.1,40.3,2.4,1.02,Minor Rain/Fog,0.0,1.0,1.0,1.0,4387.34,4379.31,2.5,-8.03,-0.18,85.76,Delivered,Yes,False,9,5
SHIP00004,2024-08-21,2024-08-24,2024-11-14,Gurugram,India,Gurugram Mfg Hub,Gurugram,Sydney,Air/Sea Route SYD,10000,CUST024,Standard,PROD0117,Hazardous Materials,Hazardous,Carton,12.62,16,545.46,535.58,8727.36,365.12,10.099,10099.0,Sea,Maersk,8,45.3,81.6,36.3,12.6,46.7,2.07,None,0.0,1.4,1.05,1.15,63604.28,87629.64,8.68,24025.36,37.77,2088.91,Delayed,No,False,8,5
SHIP00005,2023-10-28,2023-10-31,2023-11-02,Gurugram,India,Gurugram Mfg Hub,Gurugram,Chennai,NH 44 South,2200,CUST047,Express,PROD0037,Pharma,Temperature Controlled,Carton,0.13,391,398.37,404.95,155762.67,683.28,2.471,683.28,Air Cargo,Maersk,5,2.9,2.2,-0.7,537.2,4.9,1.55,None,28.8,1.2,1.1,1.05,28557.89,37835.8,55.37,9277.91,32.49,1866.54,Early,Yes,False,10,1
SHIP00006,2023-03-01,2023-03-02,2023-03-09,Gurugram,India,Gurugram Mfg Hub,Gurugram,Sydney,Air/Sea Route SYD,10000,CUST006,Express,PROD0098,Consumer Goods,General Goods,Crate,0.02,393,55.21,55.56,21697.53,5592.12,16.26,5592.12,Air Cargo,Maersk,6,11.2,7.4,-3.8,410.0,37.7,2.1,Minor Rain/Fog,68.2,1.4,1.0,1.0,1059249.07,1332772.06,238.33,273522.99,25.82,93733.51,Early,Yes,False,3,3
SHIP00007,2023-01-22,2023-01-23,2023-01-29,Gurugram,India,Gurugram Mfg Hub,Gurugram,Los Angeles,Air/Sea Route LA,13500,CUST005,Express,PROD0003,Electronics,Fragile,Pallet,0.01,464,253.92,252.2,117818.88,1215.39,6.795,1215.39,Air Cargo,Maersk,4,8.9,5.6,-3.3,477.6,33.0,1.73,None,10.0,1.3,1.05,1.1,310435.16,382630.95,314.82,72195.79,23.26,22722.35,Early,Yes,False,1,0
SHIP00008,2024-10-31,2024-10-31,2024-11-01,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,Via Agra-Indore,1500,CUST022,Express,PROD0007,Electronics,Fragile,Loose,1.0,98,2727.8,2688.54,267324.4,97.91,2.32,387.44,Air Cargo,DHL,10,3.1,1.4,-1.7,422.9,8.1,1.85,Moderate Rain/Fog,0.0,1.3,1.1,1.05,20862.54,25145.97,64.9,4283.43,20.53,858.52,Early,Yes,False,10,3
SHIP00009,2023-09-29,2023-10-02,2023-10-04,Gurugram,India,Gurugram Mfg Hub,Gurugram,Kolkata,NH 19 East,1500,CUST010,Standard,PROD0022,Pharma,Temperature Controlled,Pallet,0.0,297,1484.69,1458.62,440952.93,196.47,0.439,196.47,Air Cargo,FedEx,9,2.0,1.9,-0.1,798.4,3.3,1.01,None,0.0,1.0,1.1,1.05,10288.74,11656.11,59.33,1367.37,13.29,237.37,Delivered,Yes,False,10,0
SHIP00010,2023-11-20,2023-11-22,2023-12-06,Gurugram,India,Gurugram Mfg Hub,Gurugram,Bangalore,Western Bypass,2200,CUST016,Standard,PROD0010,Electronics,Fragile,Loose,1.0,235,1649.27,1665.89,387578.45,107.03,5.512,5512.0,Sea,MSC,4,3.6,13.6,10.0,14.8,3.1,1.45,None,38.5,1.2,1.2,1.15,7995.92,11373.02,2.06,3377.1,42.24,175.82,Delayed,No,False,11,2
SHIP00011,2024-11-14,2024-11-16,2024-12-12,Gurugram,India,Gurugram Mfg Hub,Gurugram,Shanghai,Air/Sea Route SHA,4500,CUST009,Standard,PROD0098,Consumer Goods,General Goods,Carton,0.97,80,96.26,96.66,7700.8,872.43,3.895,3895.0,Sea,Maersk,6,17.3,26.3,9.0,14.2,3.8,1.56,None,12.3,1.2,1.2,1.15,11114.23,15224.97,3.91,4110.74,36.99,273.33,Delayed,No,False,11,5
SHIP00012,2023-04-25,2023-04-25,2023-05-15,Gurugram,India,Gurugram Mfg Hub,Gurugram,Shanghai,Air/Sea Route SHA,4500,CUST035,Standard,PROD0058,Textiles,General Goods,Loose,1.0,76,220.6,216.56,16765.6,286.79,7.117,7117.0,Sea,Maersk,10,16.5,20.4,3.9,14.3,8.5,1.57,Minor Rain/Fog,0.0,1.2,0.98,0.95,20186.46,23881.01,3.36,3694.55,18.3,501.96,Delayed,No,False,4,1
SHIP00013,2024-02-27,2024-02-27,2024-02-29,Gurugram,India,Gurugram Mfg Hub,Gurugram,Chennai,East Coast detour,2350,CUST027,Express,PROD0088,Consumer Goods,General Goods,Pallet,0.01,137,64.58,65.1,8847.46,828.42,2.378,828.42,Air Cargo,Maersk,6,4.7,1.7,-3.0,329.0,4.4,2.13,Minor Rain/Fog,0.0,1.4,1.0,1.0,36657.68,43607.67,52.64,6949.99,18.96,3318.54,Early,Yes,False,2,1
SHIP00014,2024-06-05,2024-06-08,2024-07-08,Gurugram,India,Gurugram Mfg Hub,Gurugram,London,Air/Sea Route LDN,6700,CUST002,Standard,PROD0086,Consumer Goods,General Goods,Carton,1.85,298,289.51,286.79,86273.98,617.41,27.585,27585.0,Sea,Maersk,6,33.8,29.9,-3.9,15.3,22.7,1.44,Minor Rain/Fog,0.0,1.2,1.0,1.05,116296.14,133576.47,4.84,17280.33,14.86,2661.85,Early,Yes,False,6,5
SHIP00015,2024-11-11,2024-11-13,2024-11-17,Gurugram,India,Gurugram Mfg Hub,Gurugram,Frankfurt,Air/Sea Route FRA,6500,CUST047,Critical,PROD0054,Textiles,General Goods,Loose,1.0,168,207.18,205.49,34806.24,243.17,7.55,1260.85,Air Cargo,Maersk,10,4.6,3.8,-0.8,605.2,3.9,1.28,None,34.7,1.1,1.2,1.15,155530.04,202405.38,160.53,46875.34,30.14,8367.96,Early,Yes,False,11,2
SHIP00016,2024-04-29,2024-04-30,2024-05-20,Gurugram,India,Gurugram Mfg Hub,Gurugram,Frankfurt,Air/Sea Route FRA,6500,CUST033,Standard,PROD0063,Machinery Parts,Heavy/Bulky,Box,1.71,8,6891.56,6815.65,55132.48,828.55,1.367,1367.0,Sea,Maersk,9,30.2,19.5,-10.7,20.9,10.2,1.26,Minor Rain/Fog,54.8,1.1,0.98,0.95,5720.26,6323.82,4.63,603.56,10.55,111.64,Early,Yes,False,4,1
